stationName,code,stateName,countryName,zoneRuleLocal,zoneRuleCrossState,etaHoursLocal,etaHoursCrossState
Aba North,AB-ABANO-0001,Abia,Nigeria,Zone 1,Zone 4,6,24
Aba South,AB-ABASO-0002,Abia,Nigeria,Zone 1,Zone 4,6,24
Arochukwu,AB-AROCHU-0003,Abia,Nigeria,Zone 1,Zone 4,6,24
Bende,AB-BENDE-0004,Abia,Nigeria,Zone 1,Zone 4,6,24
Ikwuano,AB-IKWUAN-0005,Abia,Nigeria,Zone 1,Zone 4,6,24
Isiala Ngwa North,AB-ISIALA-0006,Abia,Nigeria,Zone 1,Zone 4,6,24
Isiala Ngwa South,AB-ISIALA-0007,Abia,Nigeria,Zone 1,Zone 4,6,24
Isuikwuato,AB-ISUIKW-0008,Abia,Nigeria,Zone 1,Zone 4,6,24
Obi Ngwa,AB-OBING-0009,Abia,Nigeria,Zone 1,Zone 4,6,24
Ohafia,AB-OHAFIA-0010,Abia,Nigeria,Zone 1,Zone 4,6,24
Osisioma,AB-OSISIO-0011,Abia,Nigeria,Zone 1,Zone 4,6,24
Ugwunagbo,AB-UGWUNA-0012,Abia,Nigeria,Zone 1,Zone 4,6,24
Ukwa East,AB-UKWAE-0013,Abia,Nigeria,Zone 1,Zone 4,6,24
Ukwa West,AB-UKWAW-0014,Abia,Nigeria,Zone 1,Zone 4,6,24
Umu-Nneochi,AB-UMUNN-0015,Abia,Nigeria,Zone 1,Zone 4,6,24
Umuahia North,AB-UMUAHI-0016,Abia,Nigeria,Zone 1,Zone 4,6,24
Umuahia South,AB-UMUAHI-0017,Abia,Nigeria,Zone 1,Zone 4,6,24
Demsa,AD-DEMSA-0018,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Fufore,AD-FUFORE-0019,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Ganye,AD-GANYE-0020,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Girei,AD-GIREI-0021,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Gombi,AD-GOMBI-0022,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Guyuk,AD-GUYUK-0023,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Hong,AD-HONG-0024,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Jada,AD-JADA-0025,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Lamurde,AD-LAMURD-0026,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Madagali,AD-MADAGA-0027,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Maiha,AD-MAIHA-0028,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Mayo Belwa,AD-MAYOB-0029,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Michika,AD-MICHIK-0030,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Mubi North,AD-MUBIN-0031,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Mubi South,AD-MUBIS-0032,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Numan,AD-NUMAN-0033,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Shelleng,AD-SHELLE-0034,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Song,AD-SONG-0035,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Toungo,AD-TOUNGO-0036,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Yola North,AD-YOLAN-0037,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Yola South,AD-YOLAS-0038,Adamawa,Nigeria,Zone 1,Zone 4,6,24
Abak,AK-ABAK-0039,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Eastern Obolo,AK-EASTER-0040,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Eket,AK-EKET-0041,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Esit Eket,AK-ESITE-0042,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Essien Udim,AK-ESSIEN-0043,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Etim Ekpo,AK-ETIME-0044,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Etinan,AK-ETINAN-0045,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Ibeno,AK-IBENO-0046,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Ibesikpo Asutan,AK-IBESIK-0047,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Ibiono Ibom,AK-IBIONO-0048,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Ika,AK-IKA-0049,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Ikono,AK-IKONO-0050,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Ikot Abasi,AK-IKOTA-0051,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Ikot Ekpene,AK-IKOTE-0052,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Ini,AK-INI-0053,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Itu,AK-ITU-0054,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Mbo,AK-MBO-0055,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Mkpat Enin,AK-MKPAT-0056,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Nsit Atai,AK-NSITA-0057,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Nsit Ibom,AK-NSITI-0058,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Nsit Ubium,AK-NSITU-0059,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Obot Akara,AK-OBOTA-0060,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Okobo,AK-OKOBO-0061,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Onna,AK-ONNA-0062,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Oron,AK-ORON-0063,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Oruk Anam,AK-ORUKA-0064,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Udung Uko,AK-UDUNG-0065,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Ukanafun,AK-UKANAF-0066,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Uruan,AK-URUAN-0067,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Urue Offong/Oruko,AK-URUEO-0068,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Uyo,AK-UYO-0069,Akwa Ibom,Nigeria,Zone 1,Zone 4,6,24
Aguata,AN-AGUATA-0070,Anambra,Nigeria,Zone 1,Zone 4,6,24
Anambra East,AN-ANAMBR-0071,Anambra,Nigeria,Zone 1,Zone 4,6,24
Anambra West,AN-ANAMBR-0072,Anambra,Nigeria,Zone 1,Zone 4,6,24
Anaocha,AN-ANAOCH-0073,Anambra,Nigeria,Zone 1,Zone 4,6,24
Awka North,AN-AWKAN-0074,Anambra,Nigeria,Zone 1,Zone 4,6,24
Awka South,AN-AWKAS-0075,Anambra,Nigeria,Zone 1,Zone 4,6,24
Ayamelum,AN-AYAMEL-0076,Anambra,Nigeria,Zone 1,Zone 4,6,24
Dunukofia,AN-DUNUKO-0077,Anambra,Nigeria,Zone 1,Zone 4,6,24
Ekwusigo,AN-EKWUSI-0078,Anambra,Nigeria,Zone 1,Zone 4,6,24
Idemili North,AN-IDEMIL-0079,Anambra,Nigeria,Zone 1,Zone 4,6,24
Idemili South,AN-IDEMIL-0080,Anambra,Nigeria,Zone 1,Zone 4,6,24
Ihiala,AN-IHIALA-0081,Anambra,Nigeria,Zone 1,Zone 4,6,24
Njikoka,AN-NJIKOK-0082,Anambra,Nigeria,Zone 1,Zone 4,6,24
Nnewi North,AN-NNEWI-0083,Anambra,Nigeria,Zone 1,Zone 4,6,24
Nnewi South,AN-NNEWI-0084,Anambra,Nigeria,Zone 1,Zone 4,6,24
Ogbaru,AN-OGBARU-0085,Anambra,Nigeria,Zone 1,Zone 4,6,24
Onitsha North,AN-ONITSH-0086,Anambra,Nigeria,Zone 1,Zone 4,6,24
Onitsha South,AN-ONITSH-0087,Anambra,Nigeria,Zone 1,Zone 4,6,24
Orumba North,AN-ORUMBA-0088,Anambra,Nigeria,Zone 1,Zone 4,6,24
Orumba South,AN-ORUMBA-0089,Anambra,Nigeria,Zone 1,Zone 4,6,24
Oyi,AN-OYI-0090,Anambra,Nigeria,Zone 1,Zone 4,6,24
Alkaleri,BA-ALKALE-0091,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Bauchi,BA-BAUCHI-0092,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Bogoro,BA-BOGORO-0093,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Damban,BA-DAMBAN-0094,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Darazo,BA-DARAZO-0095,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Dass,BA-DASS-0096,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Gamawa,BA-GAMAWA-0097,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Ganjuwa,BA-GANJUW-0098,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Giade,BA-GIADE-0099,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Itas/Gadau,BA-ITASG-0100,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Jama'are,BA-JAMAA-0101,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Katagum,BA-KATAGU-0102,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Kirfi,BA-KIRFI-0103,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Misau,BA-MISAU-0104,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Ningi,BA-NINGI-0105,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Shira,BA-SHIRA-0106,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Tafawa Balewa,BA-TAFAWA-0107,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Toro,BA-TORO-0108,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Warji,BA-WARJI-0109,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Zaki,BA-ZAKI-0110,Bauchi,Nigeria,Zone 1,Zone 4,6,24
Brass,BY-BRASS-0111,Bayelsa,Nigeria,Zone 1,Zone 4,6,24
Ekeremor,BY-EKEREM-0112,Bayelsa,Nigeria,Zone 1,Zone 4,6,24
Kolokuma/Opokuma,BY-KOLOKU-0113,Bayelsa,Nigeria,Zone 1,Zone 4,6,24
Nembe,BY-NEMBE-0114,Bayelsa,Nigeria,Zone 1,Zone 4,6,24
Ogbia,BY-OGBIA-0115,Bayelsa,Nigeria,Zone 1,Zone 4,6,24
Sagbama,BY-SAGBAM-0116,Bayelsa,Nigeria,Zone 1,Zone 4,6,24
Southern Ijaw,BY-SOUTHE-0117,Bayelsa,Nigeria,Zone 1,Zone 4,6,24
Yenagoa,BY-YENAGO-0118,Bayelsa,Nigeria,Zone 1,Zone 4,6,24
Ado,BE-ADO-0119,Benue,Nigeria,Zone 1,Zone 4,6,24
Agatu,BE-AGATU-0120,Benue,Nigeria,Zone 1,Zone 4,6,24
Apa,BE-APA-0121,Benue,Nigeria,Zone 1,Zone 4,6,24
Buruku,BE-BURUKU-0122,Benue,Nigeria,Zone 1,Zone 4,6,24
Gboko,BE-GBOKO-0123,Benue,Nigeria,Zone 1,Zone 4,6,24
Guma,BE-GUMA-0124,Benue,Nigeria,Zone 1,Zone 4,6,24
Gwer East,BE-GWERE-0125,Benue,Nigeria,Zone 1,Zone 4,6,24
Gwer West,BE-GWERW-0126,Benue,Nigeria,Zone 1,Zone 4,6,24
Katsina Ala,BE-KATSIN-0127,Benue,Nigeria,Zone 1,Zone 4,6,24
Konshisha,BE-KONSHI-0128,Benue,Nigeria,Zone 1,Zone 4,6,24
Kwande,BE-KWANDE-0129,Benue,Nigeria,Zone 1,Zone 4,6,24
Logo,BE-LOGO-0130,Benue,Nigeria,Zone 1,Zone 4,6,24
Makurdi,BE-MAKURD-0131,Benue,Nigeria,Zone 1,Zone 4,6,24
Obi,BE-OBI-0132,Benue,Nigeria,Zone 1,Zone 4,6,24
Ogbadibo,BE-OGBADI-0133,Benue,Nigeria,Zone 1,Zone 4,6,24
Ohimini,BE-OHIMIN-0134,Benue,Nigeria,Zone 1,Zone 4,6,24
Oju,BE-OJU-0135,Benue,Nigeria,Zone 1,Zone 4,6,24
Okpokwu,BE-OKPOKW-0136,Benue,Nigeria,Zone 1,Zone 4,6,24
Otukpo,BE-OTUKPO-0137,Benue,Nigeria,Zone 1,Zone 4,6,24
Tarka,BE-TARKA-0138,Benue,Nigeria,Zone 1,Zone 4,6,24
Ukum,BE-UKUM-0139,Benue,Nigeria,Zone 1,Zone 4,6,24
Ushongo,BE-USHONG-0140,Benue,Nigeria,Zone 1,Zone 4,6,24
Vandeikya,BE-VANDEI-0141,Benue,Nigeria,Zone 1,Zone 4,6,24
Abadam,BO-ABADAM-0142,Borno,Nigeria,Zone 1,Zone 4,6,24
Askira/Uba,BO-ASKIRA-0143,Borno,Nigeria,Zone 1,Zone 4,6,24
Bama,BO-BAMA-0144,Borno,Nigeria,Zone 1,Zone 4,6,24
Bayo,BO-BAYO-0145,Borno,Nigeria,Zone 1,Zone 4,6,24
Biu,BO-BIU-0146,Borno,Nigeria,Zone 1,Zone 4,6,24
Chibok,BO-CHIBOK-0147,Borno,Nigeria,Zone 1,Zone 4,6,24
Damboa,BO-DAMBOA-0148,Borno,Nigeria,Zone 1,Zone 4,6,24
Dikwa,BO-DIKWA-0149,Borno,Nigeria,Zone 1,Zone 4,6,24
Gubio,BO-GUBIO-0150,Borno,Nigeria,Zone 1,Zone 4,6,24
Guzamala,BO-GUZAMA-0151,Borno,Nigeria,Zone 1,Zone 4,6,24
Gwoza,BO-GWOZA-0152,Borno,Nigeria,Zone 1,Zone 4,6,24
Hawul,BO-HAWUL-0153,Borno,Nigeria,Zone 1,Zone 4,6,24
Jere,BO-JERE-0154,Borno,Nigeria,Zone 1,Zone 4,6,24
Kaga,BO-KAGA-0155,Borno,Nigeria,Zone 1,Zone 4,6,24
Kala/Balge,BO-KALAB-0156,Borno,Nigeria,Zone 1,Zone 4,6,24
Konduga,BO-KONDUG-0157,Borno,Nigeria,Zone 1,Zone 4,6,24
Kukawa,BO-KUKAWA-0158,Borno,Nigeria,Zone 1,Zone 4,6,24
Kwaya Kusar,BO-KWAYA-0159,Borno,Nigeria,Zone 1,Zone 4,6,24
Mafa,BO-MAFA-0160,Borno,Nigeria,Zone 1,Zone 4,6,24
Magumeri,BO-MAGUME-0161,Borno,Nigeria,Zone 1,Zone 4,6,24
Maiduguri,BO-MAIDUG-0162,Borno,Nigeria,Zone 1,Zone 4,6,24
Marte,BO-MARTE-0163,Borno,Nigeria,Zone 1,Zone 4,6,24
Mobbar,BO-MOBBAR-0164,Borno,Nigeria,Zone 1,Zone 4,6,24
Monguno,BO-MONGUN-0165,Borno,Nigeria,Zone 1,Zone 4,6,24
Ngala,BO-NGALA-0166,Borno,Nigeria,Zone 1,Zone 4,6,24
Nganzai,BO-NGANZA-0167,Borno,Nigeria,Zone 1,Zone 4,6,24
Shani,BO-SHANI-0168,Borno,Nigeria,Zone 1,Zone 4,6,24
Abi,CR-ABI-0169,Cross River,Nigeria,Zone 1,Zone 4,6,24
Akamkpa,CR-AKAMKP-0170,Cross River,Nigeria,Zone 1,Zone 4,6,24
Akpabuyo,CR-AKPABU-0171,Cross River,Nigeria,Zone 1,Zone 4,6,24
Bakassi,CR-BAKASS-0172,Cross River,Nigeria,Zone 1,Zone 4,6,24
Bekwarra,CR-BEKWAR-0173,Cross River,Nigeria,Zone 1,Zone 4,6,24
Biase,CR-BIASE-0174,Cross River,Nigeria,Zone 1,Zone 4,6,24
Boki,CR-BOKI-0175,Cross River,Nigeria,Zone 1,Zone 4,6,24
